# Source: https://www.pixelpharma.be/files/eigen-tekst-documenten/Lijst%20van%20Geneesmiddelen%20en%20medische%20hulpmiddelen.pdf
# Columns: cnk<TAB>name
2834786	Abraxane inf. susp. (pdr.) i.v. [flac.] 1x 100mg
3550019	Cedium Iodine zalf 23g 100mg/1g
3759164	Gastricumeel tabl. 50x
37317	Dopram inj./inf. oploss. i.v. [amp.] 5x5ml 20mg/1ml
3262870	Cyramza inf. oploss. (conc.) i.v. [flac.] 1x 100mg/10ml
3262904	Cyramza inf. oploss. (conc.) i.v. [flac.] 1x 500mg/50ml
3495991	Kyprolis inf. oploss. (pdr.) i.v. [flac.] 1x 10mg
3496007	Kyprolis inf. oploss. (pdr.) i.v. [flac.] 1x 30mg
3498656	Hebucol harde caps. 30x 400mg
3536992	Dormiplant Mono omh. tabl. 40x 500mg
3567237	Paracetamol B. Braun inf. oploss. i.v. [amp.] 20x 100mg/10ml
3577657	Acetylsalicylic Acid Krka maagsapresist. tabl. 84x 100mg
3577665	Acetylsalicylic Acid Krka maagsapresist. tabl. 168x 100mg
3595618	Tepadina inf. oploss. conc. (pdr.) i.v. [flac.] 1x 15mg
3595626	Tepadina inf. oploss. conc. (pdr.) i.v. [flac.] 1x 100mg
3543287	Keytruda inf. oploss. (conc.) i.v. [flac.] 1x 100mg/4ml
3550654	Piperacilline/Tazobactam Sandoz 4/500 inf. oploss. (pdr.) i.v. [flac.] 10x
2736163	Cordarone inj./inf. oploss. i.v. [amp.] 6x 150mg/3ml
3531548	Hospaq 5/0,5 cut. oploss. 125ml
3573326	Palonosetron Sandoz inj. oploss. i.v. [flac.] 1x 250µg/5ml
3437324	Empliciti inf. oploss. conc. (pdr.) i.v. [flac.] 1x 400mg
3465713	Flolan inf. oploss. (pdr.+solv.) i.v. [2x flac., thermostabiele formule] 1x 0,5mg
3573235	Xylomaris nas. spray oploss. 10ml 1mg/1ml
883926	Prostin E2 tabl. 10x 0,5mg
825992	Mobilisin 30/26,4/2 crème 50g
139865	Opticrom ocul. druppels oploss. 10ml 20mg/1ml
2048460	Chirocaine 1,25 mg/1 ml inf. oploss. epidur. [zak] 24x 125mg/100ml
41582	Sufenta inj./inf. oploss. i.v./epidur. [amp.] 5x 10µg/2ml
114462	Gyno-Daktarin vag. zachte caps. 7x 200mg
3264397	i.thec./epidur./p.neur. [amp., locoregionale infiltr.] 5x 75mg/10ml
3444452	Furosemide Accord inj./inf. oploss. i.m./i.v. [amp.] 10x 20mg/2ml
291930	Sufenta inj./inf. oploss. i.v./epidur. Forte [amp.] 5x 250µg/5ml
2744803	Ropivacaine Fresenius Kabi 5 mg/1 ml inj. oploss. i.thec. [amp.] 5x 50mg/10ml
3500469	Zytiga tabl. 56x 500mg
3549300	Flixabi inf. oploss. conc. (pdr.) i.v. [flac.] 1x 100mg
1314574	Elmex Medical Gel 1,25 % 2,87/22/30 dent. gel 38g
1682228	Muco Rhinathiol 5 % siroop oploss. Volw. 250ml 250mg/5ml
1779065	Muco Rhinathiol 5 % siroop oploss. (zonder suiker) Volw. 250ml 250mg/5ml
3437886	Prohance 279,3 mg/1 ml inj. oploss. i.v. [voorgev. spuit] 1x 4,748g/17ml
3562717	Focuzine filmomh. tabl. 60x 40mg
1177468	Maalox Antacid 200/400 kauwtabl. 100x
1722867	Duphalac 667 mg/1 ml siroop oploss. (zakjes) Fruit 20x 10g/15ml
3560406	Truxima inf. oploss. (conc.) i.v. [flac.] 1x 500mg/50ml
801035	Effortil tabl. (deelb.) 50x 5mg
2183002	Enterol susp. (pdr., zakjes) 10x
3520673	Allegra Nasal nas. spray susp. 120dos. 55µg/1dos.
3926573	Solu-Cortef inj./inf. oploss. (pdr.+solv.) i.m./i.v. S.A.B. Act-O-Vial [flac.] 1x 500mg
37556	Effortil druppels oploss. 50ml 7,5mg/1ml
3952447	Imnovid harde caps. 14x 1mg
861674	Laxavit 21/1,2 rect. oploss. 1x12ml
57448	Laxavit 21/1,2 rect. oploss. 3x12ml
41509	Fentanyl-Piramal inj./inf. oploss. i.m./i.v./s.c. [amp.] 30x 0,1mg/2ml
685750	Normacol gran. (zakjes) 30x 6,2g
3083490	Verdye inj. oploss. (pdr.) i.v. [flac.] 5x 25mg
2895050	Tiorfix harde caps. 20x 100mg
36871	Dantrium inj. oploss. (pdr.) i.v. [amp.] 12x 20mg
894956	Siroxyl siroop oploss. Volw. 250ml 250mg/5ml
3122504	Traumeel crème 50g
102806	Cedocard inf. oploss. (conc.) i.v. [amp.] 10x 10mg/10ml
98202	Holoxan inj./inf. oploss. (pdr.) i.v. [flac.] 1x 1g
867663	Sekin siroop oploss. 200ml 17,7mg/5ml
1132885	Ibuprofen EG omh. tabl. 30x 400mg
1557685	Mann 500/50 oploss. (pdr., zakjes) 16x
3716149	Linezolid Accord inf. oploss. i.v. [zak] 10x 600mg/300ml
3551546	Ammonaps tabl. 250x 500mg
1799915	Lysotossil siroop oploss. 200ml 17,7mg/5ml
3622396	Relaxine filmomh. tabl. 30x 500mg
1799923	Lysotossil tabl. 30x 10mg
139410	Bisolvon tabl. (deelb.) 50x 8mg
881797	Rifadine inf. oploss. (pdr.+solv.) i.v. [flac.+amp.] 1x 600mg
1720465	Colofort oploss. (pdr., zakjes) 4x
3967320	Pholco-Méréprine Mono siroop oploss. 200ml 5mg/5ml
1652049	Aspegic oploss. (pdr., zakjes) 30x 100mg
2755288	Amsidine inf. oploss. conc. (conc.+solv.) i.v. [2x flac.] 6x 75mg/1,5ml
821041	Ventolin inf. oploss. (conc.) i.v. [amp.] 1x5ml 1mg/1ml
291914	Rapifen inj./inf. oploss. i.m./i.v./s.c. [amp.] 30x 1mg/2ml
291922	Rapifen inj./inf. oploss. i.m./i.v./s.c. [amp.] 50x 5mg/10ml
819078	Norit harde caps. 30x 200mg
3433745	Farydak harde caps. 6x 10mg
13714	Zovirax inj./inf. oploss. (pdr.) i.v. [flac.] 5x 250mg
1571314	Dafalgan siroop oploss. Pediatrie 90ml 150mg/5ml
897405	Flagyl inf. oploss. i.v. [zak] 1x 500mg/100ml
892273	Prostin VR inj./inf. oploss. i.v./i.arter. [amp.] 1x 0,5mg/1ml
131219	Stugeron tabl. (deelb.) 200x 25mg
1066612	Norit Carbomix gastro-ent./or. susp. (gran.) 50g/61,5g
41558	Fentanyl-Piramal inj./inf. oploss. i.m./i.v./s.c. [amp.] 50x 0,5mg/10ml
3716115	Benlysta inj. oploss. s.c. [voorgev. pen] 4x 200mg/1ml
869677	Duofilm cut. oploss. 15ml 167mg/1g
1623412	Braunol cut./vag. oploss. 500ml 76,9mg/1ml
869347	Rhinospray Tramazoline nas. spray oploss. 15ml 1,18mg/1ml
3029774	Jakavi tabl. 56x 20mg
1652064	Aspegic oploss. (pdr., zakjes) 30x 250mg
