# Source: https://www.ensie.nl/medische-eponiemen
# Columns: slug<TAB>title
onanie	onanie
onderbinding-van-larrey	onderbinding van Larrey
oortrechter-van-siegle	oortrechter van Siegle
operatie-van-alexander-adams	operatie van Alexander-Adams
operatie-van-antyllus	operatie van Antyllus
operatie-van-bacon	operatie van Bacon
operatie-van-baldy	operatie van Baldy
operatie-van-blalock-taussig	operatie van Blalock-Taussig
operatie-van-caldwell-luc	operatie van Caldwell-Luc
operatie-van-dieffenbach	operatie van Dieffenbach
operatie-van-dragstedt	operatie van Dragstedt
operatie-van-elliot	operatie van Elliot
operatie-van-heller	operatie van Heller
operatie-van-killian	operatie van Killian
operatie-van-millin	operatie van Millin
operatie-van-nissen	operatie van Nissen
operatie-van-ramstedt	operatie van Ramstedt
operatie-van-recamier	operatie van Récamier
operatie-van-schauta	operatie van Schauta
operatie-van-schroeder	operatie van Schröder
operatie-van-talma	operatie van Talma
operatie-van-vineberg	operatie van Vineberg
operatie-van-wertheim	operatie van Wertheim
operatie-van-witzel	operatie van Witzel
operatie-volgens-bricker	operatie volgens Bricker
operatie-volgens-sluder	operatie volgens Sluder
ophelia-complex	Ophelia-complex
opname-volgens-stenvers	opname volgens Stenvers
opticusatrofie-van-fuchs	opticusatrofie van Fuchs
optotypen-van-snellen	optotypen van Snellen
orgaan-van-corti	orgaan van Corti
orgaan-van-jacobson	orgaan van Jacobson
orgaan-van-zuckerkandl	orgaan van Zuckerkandl
oryoa-koorts	Oryoa-koorts
osler-knobbeltjes	Osler-knobbeltjes
ouchterlony-methode	Ouchterlony-methode
ovula-nabothii	ovula Nabothii
owren-factor	Owren-factor
pal-crises	Pal-crises
panacee	panacee
pancoast-tumor	Pancoast-tumor
paniek	paniek
pap-test	Pap-test
pappenheimer-lichaampjes	Pappenheimer-lichaampjes
papyrus-smith	papyrus-Smith
parkinsonisme	parkinsonisme
pascal	pascal
pasta-van-unna	pasta van Unna
pasteuriseren	pasteuriseren
paul-s-tube	Paul’s tube
pean	péan
pecten-banden-van-miles-lord	pecten-banden van Miles-Lord
pen-van-smith-petersen	pen van Smith-Petersen
percussieklank-van-skoda	percussieklank van Skoda
perjoodzuurkleuring-volgens-schiff	perjoodzuurkleuring volgens Schiff
perubalsem	perubalsem
